cloudiness,rain,temp_max,wind_speed,visibility,humidity,OLS,is_outlier,DATE
6.666666667,0.0,94.01,6.199166667,10000.0,62.75,1.8396893848072633,False,292
30.04166667,0.0,94.01,7.24875,10000.0,56.91666667,1.8523203385917795,False,293
35.41666667,0.0,88.05,9.4,10000.0,75.95833333,1.3355888232807518,False,294
58.88,6.21,89.06,12.1236,9501.916667,81.08,1.2653111759388913,False,295
59.375,0.0,87.06,16.7825,10000.0,76.20833333,2.419202987515548,False,296
61.66666667,2.32,89.06,15.82083333,9588.458333,80.375,2.1558737596692032,False,297
91.40625,29.1,84.11,15.4275,8470.40625,88.65625,2.328018961417121,False,298
83.2,2.56,88.05,11.0924,9816.24,85.2,2.179333769712824,False,299
51.875,0.0,88.14,11.17416667,9861.291667,82.5,1.7566728080024745,False,300
59.54166667,0.28,90.05,10.08291667,10000.0,81.41666667,1.632471062606124,False,301
100.0,2.76,75.09,19.78269231,9191.076923,84.38461538,3.2087779987838037,False,302
89.32,4.18,62.11,17.1648,9970.086957,70.92,2.969523360135402,False,303
10.83333333,0.0,62.58,11.84291667,10000.0,56.75,2.9488326868395225,False,304
20.20833333,0.0,70.11,8.102916667,10000.0,50.45833333,2.6455222145953976,False,305
37.08333333,0.0,78.06,7.192083333,10000.0,58.83333333,1.7992447306221169,False,306
24.16666667,0.36,81.09,8.706666667,10000.0,80.25,2.493417313562697,False,307
69.875,0.0,83.14,8.516666667,9452.913043,80.08333333,1.5378409001536955,False,308
58.54166667,0.0,83.05,9.565,10000.0,76.29166667,1.2307306380556249,False,309
27.79166667,0.25,87.1,11.48125,10000.0,78.41666667,2.1686812816550116,False,310
40.625,0.0,86.11,11.74666667,10000.0,79.125,1.799159260025471,False,311
62.88461538,18.38,84.11,9.631538462,8740.076923,83.92307692,1.3814802013888128,False,312
97.5,49.12,72.09,10.1545,4980.1,94.875,4.235501978860412,False,313
100.0,0.81,60.78,9.45125,8861.045455,92.58333333,3.2952655515196594,False,314
98.95833333,3.61,68.11,8.3175,9350.478261,90.0,3.22064727896242,False,315
91.66666667,44.57,64.98,12.41071429,6064.952381,95.0952381,3.3990953535436077,False,316
94.375,5.31,72.05,10.07083333,10000.0,87.25,3.0336167528904325,False,317
30.625,2.25,75.11,9.709583333,10000.0,79.33333333,2.3763773100854078,False,318
90.37037037,2.5,69.78,7.486296296,8591.111111,87.62962963,2.6712187738850353,False,319
56.2,1.25,80.02,5.186,9545.0,82.8,2.421942436187554,False,320
70.625,1.25,76.1,8.540416667,10000.0,78.0,1.9690483578135227,False,321
50.92,0.75,75.09,6.334,7746.791667,83.56,2.672119548613068,False,322
84.17857143,9.35,80.11,10.36107143,7841.888889,88.39285714,1.6979107521078198,False,323
69.79166667,0.5,77.05,18.795,10000.0,68.91666667,2.8692669712749086,False,324
39.79166667,0.5,59.11,10.45208333,10000.0,65.0,2.3036565013537786,False,325
64.58333333,1.04,57.18,3.276666667,10000.0,66.70833333,3.9092738404279976,False,326
